Country;Region;Happiness Rank;Happiness Score;Lower Confidence Interval;Upper Confidence Interval;Economy (GDP per Capita);Family;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Dystopia Residual
Denmark;Western Europe;1;7.526;7.46;7.592;144.178;116.374;0.79504;0.57941;0.44453;0.36171;273.939
Switzerland;Western Europe;2;7.509;7.428;7.59;152.733;114.524;0.86303;0.58557;0.41203;0.28083;269.463
Iceland;Western Europe;3;7.501;7.333;7.669;142.666;118.326;0.86733;0.56624;0.14975;0.47678;283.137
Norway;Western Europe;4;7.498;7.421;7.575;157.744;11.269;0.79579;0.59609;0.35776;0.37895;266.465
Finland;Western Europe;5;7.413;7.351;7.475;140.598;113.464;0.81091;0.57104;0.41004;0.25492;282.596
Canada;North America;6;7.404;7.335;7.473;144.015;10.961;0.8276;0.5737;0.31329;0.44834;270.485
Netherlands;Western Europe;7;7.339;7.284;7.394;146.468;102.912;0.81231;0.55211;0.29927;0.47416;270.749
New Zealand;Australia and New Zealand;8;7.334;7.264;7.404;136.066;117.278;0.83096;0.58147;0.41904;0.49401;247.553
Australia;Australia and New Zealand;9;7.313;7.241;7.385;144.443;110.476;0.8512;0.56837;0.32331;0.47407;25.465
Sweden;Western Europe;10;7.291;7.227;7.355;145.181;108.764;0.83121;0.58218;0.40867;0.38254;254.734
Israel;Middle East and Northern Africa;11;7.267;7.199;7.335;133.766;0.99537;0.84917;0.36432;0.08728;0.32288;331.029
Austria;Western Europe;12;7.119;7.045;7.193;145.038;108.383;0.80565;0.54355;0.21348;0.32865;269.343
United States;North America;13;7.104;7.02;7.188;150.796;104.782;0.779;0.48163;0.14868;0.41077;272.782
Costa Rica;Latin America and Caribbean;14;7.087;6.999;7.175;106.879;102.152;0.76146;0.55225;0.10547;0.22553;335.168
Puerto Rico;Latin America and Caribbean;15;7.039;6.794;7.284;135.943;108.113;0.77758;0.46823;0.12275;0.22202;30.076
Germany;Western Europe;16;6.994;6.93;7.058;144.787;109.774;0.81487;0.53466;0.28551;0.30452;250.931
Brazil;Latin America and Caribbean;17;6.952;6.875;7.029;108.754;103.938;0.61415;0.40425;0.14166;0.15776;350.733
Belgium;Western Europe;18;6.929;6.861;6.997;142.539;105.249;0.81959;0.51354;0.26248;0.2424;261.355
Ireland;Western Europe;19;6.907;6.836;6.978;148.341;116.157;0.81455;0.54008;0.29754;0.44963;215.988
Luxembourg;Western Europe;20;6.871;6.804;6.938;169.752;103.999;0.84542;0.5487;0.35329;0.27571;211.055
Mexico;Latin America and Caribbean;21;6.778;6.68;6.876;111.508;0.7146;0.71143;0.37709;0.18355;0.11735;355.906
Singapore;Southeastern Asia;22;6.739;6.674;6.804;164.555;0.86758;0.94719;0.4877;0.46987;0.32706;199.375
United Kingdom;Western Europe;23;6.725;6.647;6.803;140.283;108.672;0.80991;0.50036;0.27399;0.50156;214.999
